"Name","Created","Runtime","End Time","ID","Notes","Updated","Tags","model.net.hidden_dims","model.net.latent_dim","eval/id_cell_corr","eval/id_gene_corr","eval/id_mse","eval/ood_cell_corr","eval/ood_gene_corr","eval/ood_mse"
"bench_3_VanillaAE","2025-12-09T16:49:34.000Z","1309","2025-12-09T17:11:23.000Z","4t9j5pqm","-","2025-12-09T17:11:23.000Z","benchmark, ood","[4096,2048,1024,512]","128","0.706914708818728","0.9992241263389589","0.07388901884079423","0.5995809021423516","0.967956244945526","0.0923551679724457"
"bench_2_VanillaAE","2025-12-09T16:28:05.000Z","1274","2025-12-09T16:49:19.000Z","09oauh8n","-","2025-12-09T16:49:19.000Z","benchmark, ood","[4096,2048,1024,512]","64","0.7066543091468424","0.9992408156394958","0.0739204667384557","0.5981622428821268","0.9662905335426332","0.09258028711378624"
"bench_1_VanillaAE","2025-12-09T16:06:26.000Z","1283","2025-12-09T16:27:49.000Z","rkjvg587","-","2025-12-09T16:27:49.000Z","benchmark, ood","[2048,1024,512]","128","0.7005694417446334","0.9990975260734558","0.07495791612204045","0.5879310882013902","0.9603829979896544","0.09404785975570536"
"bench_0_VanillaAE","2025-12-09T15:43:48.000Z","1335","2025-12-09T16:06:03.000Z","rc4q1goh","-","2025-12-09T16:06:03.000Z","benchmark, ood","[2048,1024,512]","64","0.7008897860036836","0.999092698097229","0.07489568830472285","0.5880949965856145","0.9601557850837708","0.094047524938161"
